feature,importance
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,5065.670690536499
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,5038.3359088897705
CC_AMT_DRAWINGS_POS_CURRENT_MAX,5009.541702270508
YEARS_BUILD_MEDI,4980.1262130737305
NONLIVINGAPARTMENTS_AVG,4938.596878051758
BUREAU_CREDIT_TYPE_COUNT,4822.562913894653
PREV_AMT_GOODS_PRICE_SUM,4802.691287994385
CC_CC_UNDERPAYING_SUM,4757.53021812439
POS_POS_STATUS_ACTIVE_SUM,4742.933427810669
NAME_HOUSING_TYPE,4664.92472076416
FLOORSMAX_MEDI,4661.252613067627
DOC_SUPPLEMENTARY_COUNT,4643.271881103516
INST_INST_UNDERPAID_SUM,4640.5188846588135
CC_CNT_INSTALMENT_MATURE_CUM_MAX,4635.54358291626
CC_CC_POS_DRAWING_RATIO_MAX,4487.230398178101
YEARS_BUILD_AVG,4477.0711097717285
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,4407.872024536133
YEARS_BUILD_MODE,4358.148496627808
FLOORSMIN_AVG,4328.5389976501465
POS_POS_HAS_DPD_DEF_MEAN,4320.621910095215
ENTRANCES_MEDI,4239.189586639404
CC_AMT_PAYMENT_CURRENT_MAX,4104.5563888549805
PREV_CNT_PAYMENT_MIN,4051.449489593506
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,4048.547794342041
PREV_PREV_APP_REFUSED_SUM,4020.622709274292
INST_NUM_INSTALMENT_VERSION_MAX,4005.3599224090576
ENTRANCES_MODE,3958.420867919922
CC_CC_PAYMENT_RATIO_MIN,3829.0627937316895
CC_AMT_PAYMENT_CURRENT_SUM,3827.316390991211
PREV_PREV_APP_APPROVED_SUM,3810.833890914917
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,3758.6297912597656
POS_SK_DPD_STD,3751.6540870666504
BB_PAYMENT_CONSISTENCY,3727.6623210906982
POS_POS_STATUS_COMPLETED_MEAN,3723.701114654541
CC_CC_CASH_DRAWING_RATIO_MAX,3677.83101272583
POS_NUM_COMPLETED_LOANS,3618.6281127929688
FLAG_PHONE,3551.310199737549
POS_SK_DPD_SUM,3523.3727893829346
INST_NUM_INSTALMENT_VERSION_NUNIQUE,3504.624584197998
CNT_CHILDREN,3469.3876991271973
CC_UTILIZATION_STABILITY,3457.528522491455
ELEVATORS_AVG,3452.8104820251465
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,3449.9061126708984
PREV_NAME_CONTRACT_TYPE_NUNIQUE,3373.9915351867676
CC_AMT_DRAWINGS_CURRENT_MAX,3370.028205871582
CC_AMT_DRAWINGS_CURRENT_MEAN,3358.0637130737305
NONLIVINGAPARTMENTS_MODE,3331.419967651367
CC_AMT_DRAWINGS_POS_CURRENT_SUM,3220.0647830963135
INST_INST_PAYMENT_DIFF_MAX,3156.564182281494
BB_RECENT_12M_DPD_RATE,3133.235097885132
CC_CC_POS_DRAWING_RATIO_MEAN,3130.4385890960693
CC_AMT_INST_MIN_REGULARITY_SUM,3128.700493812561
PREV_TOTAL_APPLICATIONS,3108.181526184082
AMT_REQ_CREDIT_BUREAU_MON,3106.7692108154297
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,3052.1676902770996
PREV_DAYS_FIRST_DRAWING_MIN,3041.2816009521484
POS_POS_HAS_DPD_SUM,2997.342502593994
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,2996.624195098877
BB_DPD_TREND_6M,2975.7602920532227
NAME_TYPE_SUITE,2963.3675842285156
CC_CC_RECEIVABLE_RATIO_MEAN,2921.2261905670166
FONDKAPREMONT_MODE,2911.4669876098633
CC_CC_FULL_BALANCE_MEAN,2891.69478225708
PREV_NAME_PRODUCT_TYPE_NUNIQUE,2874.0546646118164
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,2790.458394050598
POS_SK_DPD_DEF_SUM,2739.1736793518066
CC_SK_ID_PREV_COUNT,2719.9197998046875
CC_CNT_DRAWINGS_CURRENT_SUM,2697.2002925872803
PREV_PREV_APP_CANCELED_SUM,2623.6595973968506
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,2603.3469200134277
BB_BB_STATUS_1_SUM,2544.369691848755
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,2529.996109008789
BUREAU_CREDIT_TYPE_NUNIQUE,2511.4329795837402
FLOORSMAX_MODE,2503.8416023254395
CC_AMT_DRAWINGS_CURRENT_SUM,2495.862901687622
PREV_CHANNEL_TYPE_NUNIQUE,2423.7966918945312
CC_CC_OVER_LIMIT_SUM,2354.0816802978516
ELEVATORS_MODE,2332.1940994262695
NONLIVINGAPARTMENTS_MEDI,2274.903781890869
CC_AMT_BALANCE_MAX,2255.5734882354736
POS_SK_DPD_MAX,2255.4340019226074
POS_DPD_RATE,2172.102191925049
GEO_APP_HOUR_CATEGORY,2078.1428031921387
CC_AMT_RECIVABLE_MAX,1943.9697875976562
CC_AMT_INST_MIN_REGULARITY_MEAN,1932.0758972167969
CC_SK_DPD_DEF_MEAN,1927.946397781372
NAME_CONTRACT_TYPE,1908.6698837280273
ELEVATORS_MEDI,1904.7908973693848
POS_SK_DPD_MEAN,1899.9749069213867
FLAG_OWN_REALTY,1888.9864082336426
POS_RECENT_POS_STATUS_COMPLETED_SUM,1884.9176063537598
POS_SK_ID_PREV_COUNT,1884.3561792373657
FLOORSMIN_MEDI,1876.7518997192383
CC_CNT_DRAWINGS_POS_CURRENT_MAX,1876.2665977478027
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,1862.2897968292236
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,1840.2152099609375
CC_AMT_INST_MIN_REGULARITY_MAX,1793.1612014770508
BB_DELINQUENCY_RATE,1784.181209564209
PREV_NAME_PAYMENT_TYPE_NUNIQUE,1769.3291015625
CC_CC_UTILIZATION_MEAN,1755.891616821289
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,1744.633876800537
CC_CC_USING_CASH_ADVANCE_SUM,1726.3524990081787
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,1643.8811988830566
CC_CC_UTILIZATION_MIN,1625.6142807006836
POS_TOTAL_CONTRACTS,1577.586971282959
CC_CNT_DRAWINGS_POS_CURRENT_SUM,1572.1031875610352
CC_SK_DPD_MEAN,1568.4505939483643
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,1553.395408630371
