feature,importance
CC_AMT_DRAWINGS_CURRENT_SUM,96.02534055709839
BB_SERIOUS_DPD_RATE,92.6781997680664
REG_CITY_NOT_WORK_CITY,92.48209762573242
NONLIVINGAPARTMENTS_MODE,90.15789890289307
CC_AMT_INST_MIN_REGULARITY_MEAN,88.97813892364502
CC_AMT_BALANCE_SUM,88.76490020751953
FLOORSMAX_MODE,88.62948036193848
INST_NUM_INSTALMENT_VERSION_NUNIQUE,88.2677993774414
ENTRANCES_MODE,88.14134883880615
FLAG_EMP_PHONE,83.79190063476562
CC_AMT_RECIVABLE_MAX,83.56589984893799
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,82.47429847717285
PREV_AMT_GOODS_PRICE_SUM,81.88058948516846
CC_SK_DPD_MEAN,81.60850954055786
GEO_HAS_COMMON_AREA,81.46660232543945
CC_CC_DPD_SEVERITY_MEAN,80.94050025939941
CC_CC_RECEIVABLE_RATIO_MEAN,77.56659984588623
PREV_NAME_PAYMENT_TYPE_NUNIQUE,74.31599998474121
POS_DPD_RATE,74.0265998840332
POS_POS_HAS_DPD_SUM,72.80320167541504
CC_AMT_PAYMENT_CURRENT_SUM,72.77330017089844
FLOORSMAX_MEDI,72.63270092010498
CC_CNT_DRAWINGS_POS_CURRENT_SUM,72.54145050048828
CC_CNT_INSTALMENT_MATURE_CUM_MAX,71.6518201828003
PREV_DAYS_FIRST_DRAWING_MIN,71.42310047149658
POS_SK_DPD_MEAN,70.61030006408691
NONLIVINGAPARTMENTS_AVG,70.5738000869751
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,70.0324010848999
FLOORSMIN_AVG,69.98550033569336
CC_AMT_BALANCE_MIN,69.87459945678711
BB_PAYMENT_CONSISTENCY,68.77239990234375
FONDKAPREMONT_MODE,66.45610046386719
FLOORSMIN_MEDI,65.4124984741211
BB_BB_STATUS_4_MEAN,65.19050121307373
CC_CNT_INSTALMENT_MATURE_CUM_SUM,65.05500030517578
CC_AMT_RECIVABLE_MEAN,64.53279876708984
POS_POS_STATUS_ACTIVE_SUM,63.127400398254395
CC_CC_UTILIZATION_MIN,62.43663024902344
NONLIVINGAPARTMENTS_MEDI,59.91031074523926
PREV_NAME_CONTRACT_TYPE_NUNIQUE,59.79906940460205
BB_BB_STATUS_2_MEAN,59.77220058441162
INST_INST_UNDERPAID_SUM,58.41769886016846
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,58.40372943878174
REGION_RATING_CLIENT_W_CITY,55.718400955200195
CC_SK_DPD_SUM,55.528700828552246
CC_CC_FULL_BALANCE_SUM,55.45489978790283
CC_AMT_DRAWINGS_POS_CURRENT_MAX,55.43809986114502
POS_SK_DPD_SUM,55.403160572052
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,52.35860061645508
CC_RECENT_CC_UNDERPAYING,51.785099029541016
GEO_APP_HOUR_CATEGORY,50.528249740600586
DOC_ESSENTIAL_RATE,50.32040023803711
BUREAU_CREDIT_DAY_OVERDUE_MEAN,50.24949836730957
FLAG_OWN_REALTY,48.17856025695801
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,46.71139907836914
INST_INST_PAYMENT_DIFF_MAX,46.23101997375488
POS_TOTAL_CONTRACTS,44.64680099487305
BUREAU_CREDIT_DAY_OVERDUE_MAX,44.5300989151001
CC_CC_OVER_LIMIT_SUM,43.498600006103516
POS_SK_ID_PREV_COUNT,43.17539978027344
BB_BB_STATUS_DPD_SUM,42.574599266052246
CC_CC_USING_CASH_ADVANCE_SUM,41.627750396728516
LIVE_CITY_NOT_WORK_CITY,41.518720626831055
CC_AMT_DRAWINGS_POS_CURRENT_SUM,39.832499504089355
BB_BB_STATUS_1_SUM,39.01279926300049
CC_AMT_TOTAL_RECEIVABLE_MAX,38.376099586486816
ELEVATORS_MEDI,37.066399574279785
CC_FREQUENT_OVER_LIMIT,36.26319885253906
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,33.874131202697754
YEARS_BUILD_MEDI,33.38551044464111
POS_RECENT_POS_STATUS_COMPLETED_SUM,32.676090240478516
CC_AMT_RECIVABLE_SUM,32.39931011199951
CC_SK_DPD_DEF_SUM,29.19640064239502
BB_BB_STATUS_4_SUM,28.926199913024902
BB_BB_STATUS_2_SUM,28.700779914855957
BB_MONTHS_BALANCE_MAX,27.354900360107422
CC_VERY_RECENT_SK_DPD,27.204999923706055
AMT_REQ_CREDIT_BUREAU_MON,26.65149974822998
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,26.52139949798584
BB_BB_STATUS_3_MEAN,26.110950469970703
BB_BB_STATUS_5_MEAN,26.04680061340332
INST_GETTING_WORSE,25.825899124145508
